GSE,Problem
GSE248127,Paper assets unavailable
GSE248127,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE248127,Missing Hospital/Center where samples were collected
GSE248127,Data type uncertain
GSE185119,Paper assets unavailable
GSE185119,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE185119,Missing Hospital/Center where samples were collected
GSE185119,Data type uncertain
GSE270174,Paper assets unavailable
GSE270174,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE270174,Missing Hospital/Center where samples were collected
GSE270174,Data type uncertain
GSE232692,Paper assets unavailable
GSE232692,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE232692,Missing Hospital/Center where samples were collected
GSE232692,Data type uncertain
GSE232692,No placenta/decidua detected
GSE232526,Paper assets unavailable
GSE232526,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE232526,Missing Hospital/Center where samples were collected
GSE232526,Data type uncertain
GSE247712,Paper assets unavailable
GSE247712,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE247712,Missing Hospital/Center where samples were collected
GSE247712,Data type uncertain
GSE270170,Paper assets unavailable
GSE270170,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE270170,Missing Hospital/Center where samples were collected
GSE270170,Data type uncertain
GSE214007,Paper assets unavailable
GSE214007,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE214007,Missing Hospital/Center where samples were collected
GSE214007,Data type uncertain
GSE248126,Paper assets unavailable
GSE248126,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE248126,Missing Hospital/Center where samples were collected
GSE248126,Data type uncertain
GSE230783,Paper assets unavailable
GSE230783,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE230783,Missing Hospital/Center where samples were collected
GSE230783,Data type uncertain
GSE230783,No placenta/decidua detected
GSE248093,Paper assets unavailable
GSE248093,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE248093,Missing Hospital/Center where samples were collected
GSE248093,Data type uncertain
GSE247711,Paper assets unavailable
GSE247711,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE247711,Missing Hospital/Center where samples were collected
GSE247711,Data type uncertain
GSE272695,Paper assets unavailable
GSE272695,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE272695,Missing Hospital/Center where samples were collected
GSE272695,Data type uncertain
GSE254847,Paper assets unavailable
GSE254847,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE254847,Missing Hospital/Center where samples were collected
GSE254847,Data type uncertain
GSE233557,Paper assets unavailable
GSE233557,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE233557,Missing Hospital/Center where samples were collected
GSE233557,Data type uncertain
GSE254845,Paper assets unavailable
GSE254845,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE254845,Missing Hospital/Center where samples were collected
GSE254846,Paper assets unavailable
GSE254846,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE254846,Missing Hospital/Center where samples were collected
GSE254846,Data type uncertain
GSE221691,Paper assets unavailable
GSE221691,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE221691,Missing Hospital/Center where samples were collected
GSE221691,Data type uncertain
GSE221691,No placenta/decidua detected
GSE236675,Paper assets unavailable
GSE236675,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE236675,Missing Hospital/Center where samples were collected
GSE236675,Data type uncertain
GSE212505,Paper assets unavailable
GSE212505,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE212505,Missing Hospital/Center where samples were collected
GSE212505,Data type uncertain
GSE224116,Paper assets unavailable
GSE224116,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE224116,Missing Hospital/Center where samples were collected
GSE224116,Data type uncertain
GSE205581,Paper assets unavailable
GSE205581,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE205581,Missing Hospital/Center where samples were collected
GSE205581,Data type uncertain
GSE163286,Paper assets unavailable
GSE163286,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE163286,Missing Hospital/Center where samples were collected
GSE163286,Data type uncertain
GSE217041,Paper assets unavailable
GSE217041,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE217041,Missing Hospital/Center where samples were collected
GSE217041,Data type uncertain
GSE235157,Paper assets unavailable
GSE235157,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE235157,Missing Hospital/Center where samples were collected
GSE235157,Data type uncertain
GSE200161,Paper assets unavailable
GSE200161,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE200161,Missing Hospital/Center where samples were collected
GSE200161,Data type uncertain
GSE218314,Paper assets unavailable
GSE218314,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE218314,Missing Hospital/Center where samples were collected
GSE218314,Data type uncertain
GSE218314,No placenta/decidua detected
GSE207630,Paper assets unavailable
GSE207630,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE207630,Missing Hospital/Center where samples were collected
GSE207630,Data type uncertain
GSE204723,Paper assets unavailable
GSE204723,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE204723,Missing Hospital/Center where samples were collected
GSE204723,Data type uncertain
GSE202338,Paper assets unavailable
GSE202338,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE202338,Missing Hospital/Center where samples were collected
GSE202338,Data type uncertain
GSE202338,No placenta/decidua detected
GSE202339,Paper assets unavailable
GSE202339,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE202339,Missing Hospital/Center where samples were collected
GSE202339,Data type uncertain
GSE204722,Paper assets unavailable
GSE204722,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE204722,Missing Hospital/Center where samples were collected
GSE204722,Data type uncertain
GSE202337,Paper assets unavailable
GSE202337,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE202337,Missing Hospital/Center where samples were collected
GSE202337,Data type uncertain
GSE202336,Paper assets unavailable
GSE202336,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE202336,Missing Hospital/Center where samples were collected
GSE202336,Data type uncertain
GSE221248,Paper assets unavailable
GSE221248,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE221248,Missing Hospital/Center where samples were collected
GSE221248,Data type uncertain
GSE221248,No placenta/decidua detected
GSE215382,Paper assets unavailable
GSE215382,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE215382,Missing Hospital/Center where samples were collected
GSE215382,Data type uncertain
GSE215381,Paper assets unavailable
GSE215381,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE215381,Missing Hospital/Center where samples were collected
GSE215381,Data type uncertain
GSE215380,Paper assets unavailable
GSE215380,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE215380,Missing Hospital/Center where samples were collected
GSE215380,Data type uncertain
GSE193685,Paper assets unavailable
GSE193685,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE193685,Missing Hospital/Center where samples were collected
GSE193685,Data type uncertain
GSE227094,Paper assets unavailable
GSE227094,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE227094,Missing Hospital/Center where samples were collected
GSE227094,Data type uncertain
GSE227094,No placenta/decidua detected
GSE180637,Paper assets unavailable
GSE180637,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE180637,Missing Hospital/Center where samples were collected
GSE180637,Data type uncertain
GSE182017,Paper assets unavailable
GSE182017,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE182017,Missing Hospital/Center where samples were collected
GSE182017,Data type uncertain
GSE182015,Paper assets unavailable
GSE182015,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE182015,Missing Hospital/Center where samples were collected
GSE225378,Paper assets unavailable
GSE225378,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE225378,Missing Hospital/Center where samples were collected
GSE225378,Data type uncertain
GSE182014,Paper assets unavailable
GSE182014,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE182014,Missing Hospital/Center where samples were collected
GSE182014,Data type uncertain
GSE220877,Paper assets unavailable
GSE220877,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE220877,Missing Hospital/Center where samples were collected
GSE220877,Data type uncertain
GSE164973,Paper assets unavailable
GSE164973,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE164973,Missing Hospital/Center where samples were collected
GSE164973,Data type uncertain
GSE181904,Paper assets unavailable
GSE181904,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE181904,Missing Hospital/Center where samples were collected
GSE181904,Data type uncertain
GSE188738,Paper assets unavailable
GSE188738,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE188738,Missing Hospital/Center where samples were collected
GSE188738,Data type uncertain
GSE206401,Paper assets unavailable
GSE206401,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE206401,Missing Hospital/Center where samples were collected
GSE206401,Data type uncertain
GSE210319,Paper assets unavailable
GSE210319,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE210319,Missing Hospital/Center where samples were collected
GSE210319,Data type uncertain
GSE210318,Paper assets unavailable
GSE210318,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE210318,Missing Hospital/Center where samples were collected
GSE210318,Data type uncertain
GSE209620,Paper assets unavailable
GSE209620,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE209620,Missing Hospital/Center where samples were collected
GSE209620,Data type uncertain
GSE209620,No placenta/decidua detected
GSE204779,Paper assets unavailable
GSE204779,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE204779,Missing Hospital/Center where samples were collected
GSE204779,Data type uncertain
GSE204779,No placenta/decidua detected
GSE194033,Paper assets unavailable
GSE194033,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE194033,Missing Hospital/Center where samples were collected
GSE194033,Data type uncertain
GSE191285,Paper assets unavailable
GSE191285,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE191285,Missing Hospital/Center where samples were collected
GSE191285,Data type uncertain
GSE191286,Paper assets unavailable
GSE191286,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE191286,Missing Hospital/Center where samples were collected
GSE191286,Data type uncertain
GSE206182,Paper assets unavailable
GSE206182,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE206182,Missing Hospital/Center where samples were collected
GSE208681,Paper assets unavailable
GSE208681,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE208681,Missing Hospital/Center where samples were collected
GSE208681,Data type uncertain
GSE193676,Paper assets unavailable
GSE193676,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE193676,Missing Hospital/Center where samples were collected
GSE193676,Data type uncertain
GSE162893,Paper assets unavailable
GSE162893,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE162893,Missing Hospital/Center where samples were collected
GSE162893,Data type uncertain
GSE200960,Paper assets unavailable
GSE200960,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE200960,Missing Hospital/Center where samples were collected
GSE200960,Data type uncertain
GSE200960,No placenta/decidua detected
GSE200961,Paper assets unavailable
GSE200961,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE200961,Missing Hospital/Center where samples were collected
GSE200961,Data type uncertain
GSE200958,Paper assets unavailable
GSE200958,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE200958,Missing Hospital/Center where samples were collected
GSE200958,Data type uncertain
GSE203346,Paper assets unavailable
GSE203346,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE203346,Missing Hospital/Center where samples were collected
GSE203346,Data type uncertain
GSE168232,Paper assets unavailable
GSE168232,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE168232,Missing Hospital/Center where samples were collected
GSE168232,Data type uncertain
GSE203169,Paper assets unavailable
GSE203169,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE203169,Missing Hospital/Center where samples were collected
GSE204835,Paper assets unavailable
GSE204835,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE204835,Missing Hospital/Center where samples were collected
GSE204835,Data type uncertain
GSE178233,Paper assets unavailable
GSE178233,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE178233,Missing Hospital/Center where samples were collected
GSE178233,Data type uncertain
GSE178229,Paper assets unavailable
GSE178229,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE178229,Missing Hospital/Center where samples were collected
GSE178229,Data type uncertain
GSE150066,Paper assets unavailable
GSE150066,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE150066,Missing Hospital/Center where samples were collected
GSE226993,Paper assets unavailable
GSE226993,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE226993,Missing Hospital/Center where samples were collected
GSE226993,No placenta/decidua detected
